지점명	아파트명	준공년월	세대	distance	매매가하한	매매가상한
스타벅스 의정부녹양DT점	힐스테이트녹양역	2018.11	758.0	0.5218753861698068	300000000.0	480000000.0
스타벅스 북수원IC DT점	수원SK스카이뷰아파트	2013.05	3498.0	1.0830107559870017	520000000.0	850000000.0
스타벅스 광주선운DT점	선운이지더원2단지아파트	2014.07	378.0	7.173967962892407	270000000.0	360000000.0
스타벅스 평촌역DT점	인덕원푸르지오엘센트로	2019.11	1774.0	2.5880504922499665	1015000000.0	1235000000.0
스타벅스 광주운암DT점	운암주공3단지아파트	1984.11	2020.0	0.18359700213012486	205000000.0	385000000.0
스타벅스 풍무역DT점	김포풍무꿈에그린유로메트로1단지아파트	2014.05	965.0	1.394994131059421	360000000.0	465000000.0
스타벅스 익산영등DT점	제일타운아파트	1995.04	900.0	0.4011842885766492	120000000.0	300000000.0
스타벅스 광주수완DT점	수완코오롱하늘채아파트	2008.12	753.0	0.5258126114277341	505000000.0	895000000.0
스타벅스 기장역DT점	한신그린코아아파트	1995.05	1131.0	0.8524188293461747	125000000.0	285000000.0
스타벅스 대구두류DT점	세신아파트	1981.04	41.0	0.14623287325482026	100000000.0	100000000.0
스타벅스 대구앞산DT점	동신점보맨션아파트	1979.08	201.0	0.489760073079553	145000000.0	197000000.0
스타벅스 사상주례DT점	주례한일유앤아이아파트	2005.02	988.0	1.2473191739895275	185000000.0	430000000.0
스타벅스 하남미사DT점	미사강변센트럴자이아파트	2017.02	1222.0	1.159798748966775	970000000.0	1250000000.0
스타벅스 경기광주쌍령DT점	광주센트럴푸르지오아파트	2018.04	1425.0	0.1713264721977146	365000000.0	475000000.0
스타벅스 울산남구청DT점	울산신정동신정지웰	2018.07	200.0	0.1502454621991522	330000000.0	360000000.0
스타벅스 대구만촌DT점	만촌3차화성파크드림아파트			0.4076807909552385		
스타벅스 신영통DT점	신영통현대1단지아파트	2001.1	896.0	0.2944375943758944	290000000.0	420000000.0
스타벅스 낙성대DT점	동아타운아파트	1999.1	121.0	0.3423090548533544	235000000.0	720000000.0
스타벅스 대구수성네거리DT점	롬바드아파트	2011.07	108.0	0.1948454857497285	610000000.0	920000000.0
스타벅스 영등포신길DT점	래미안프레비뉴아파트	2015.12	949.0	0.3304275150320055	970000000.0	1450000000.0
스타벅스 여주DT점	여주점봉부영아파트	2000.1	810.0	0.25045044796018023	75000000.0	120000000.0
스타벅스 구미시청DT점	상산에이스타운	2002.09	19.0	0.2570277685723551	100000000.0	100000000.0
스타벅스 일산덕이DT점	일산위브더제니스	2013.04	2700.0	0.5609859632471315	380000000.0	810000000.0
스타벅스 원주명륜DT점	개운한신휴플러스1차아파트	2006.12	762.0	0.4284817870845071	165000000.0	267000000.0
스타벅스 인천당하DT점	당하풍림아이원3차아파트	2004.1	579.0	0.26934595099346603	200000000.0	290000000.0
스타벅스 청주사직DT점	청주사직두산위브더제니스아파트	2009.07	576.0	0.5271933823106622	260000000.0	400000000.0
스타벅스 수원연무DT점	우만주공4단지아파트	1992.03	1152.0	0.1987465772184933	185000000.0	300000000.0
스타벅스 김포풍무DT점	김포풍무꿈에그린유로메트로1단지아파트	2014.05	965.0	0.654342508045047	360000000.0	465000000.0
스타벅스 김천시청DT점	신음현대1차아파트	1996.12	959.0	0.14721691664455988	65000000.0	190000000.0
스타벅스 포항죽도DT점	포항자이아파트	2018.09	1567.0	1.1387340739321496	310000000.0	730000000.0
스타벅스 과천DT점	과천주공8단지아파트	1983.08	1400.0	0.6004471173203437	1200000000.0	1450000000.0
스타벅스 대구상동DT점	수성동일하이빌레이크시티아파트	2009.04	1411.0	0.2748817238417542	620000000.0	1220000000.0
스타벅스 부산재송DT점	더샵센텀파크1단지아파트	2005.1	2752.0	0.37287661525027693	610000000.0	1510000000.0
스타벅스 천안서부대로DT점	광명장미아파트	1993.11	990.0	0.2446340725525671	105000000.0	220000000.0
스타벅스 강동암사DT점	삼성광나루아파트	2002.11	490.0	0.27680608864905953	690000000.0	1100000000.0
스타벅스 이천사음DT점	이천현진에버빌2차아파트	2006.04	137.0	0.4564861091890473	180000000.0	220000000.0
스타벅스 천안두정역DT점	두정대우1차아파트	1996.12	1038.0	0.22435734870531496	96000000.0	180000000.0
스타벅스 안양운동장사거리DT점	달안동샛별한양2단지아파트	1993.04	844.0	0.33187993203626065	255000000.0	670000000.0
스타벅스 대전신탄진DT점	대전풍림금강엑슬루타워아파트	2012.01	2312.0	0.29927378866144466	230000000.0	420000000.0
스타벅스 수원세류DT점	대한대우푸르지오아파트	1999.12	1293.0	0.619406347920203	350000000.0	600000000.0
스타벅스 일산애니골DT점	숲속마을에버나인10단지아파트			0.2624517461174176		
스타벅스 포항쌍용DT점	상도풀리스아파트			0.10251337985638294		
스타벅스 경기광주신현DT점	e편한세상태재1단지아파트	2018.07	480.0	0.33442623429301915	440000000.0	610000000.0
스타벅스 목포북항DT점	산정현대아파트	1991.12	530.0	0.5430123175163974	85000000.0	105000000.0
스타벅스 남양주연평DT점	해밀마을남양휴튼1단지아파트	2010.02	443.0	0.1841834844867586	300000000.0	390000000.0
스타벅스 여수학동DT점	센트럴파크주상복합아파트	2014.03	208.0	0.4007292949316879	95000000.0	130000000.0
스타벅스 인천간석DT점	신동아파밀리에명품아파트	2007.08	715.0	0.26487621267510914	245000000.0	350000000.0
스타벅스 인천용현DT점	용현대림아파트	1990.1	598.0	0.5012813484601967	200000000.0	280000000.0
