지점명	address	distance	address2	num_review	지점명2
스타벅스 구미상모DT점	상모동 478-5 상모주유소	0.9480498137132954	경상북도 구미시 박정희로 107	47937	박정희 대통령 생가
스타벅스 구미상모DT점	상모동 478-5 상모주유소	1.8309542818950304	경상북도 구미시 지주중류2길 19	2140	오암서원
스타벅스 구미상모DT점	상모동 478-5 상모주유소	2.147723764791543	경상북도 구미시 남구미로	27392	낙동강
스타벅스 구미시청DT점	송정동 33-11	2.341994980406988	경상북도 구미시 금오산로 339	0	금오랜드 놀이동산
스타벅스 구미시청DT점	송정동 33-11	3.2480858534728565	경상북도 구미시 남통동	61351	금오산도립공원
스타벅스 구미시청DT점	송정동 33-11	3.3084671628190923	경상북도 구미시 박정희로 107	47937	박정희 대통령 생가
스타벅스 구의DT점	구의동 67-36	0.5119579349959787	서울특별시 광진구 광나루로 571	4694	구의 아리수 정수센터
스타벅스 구의DT점	구의동 67-36	0.6495683338796242	서울특별시 광진구 능동로 216	65653	서울어린이대공원
스타벅스 구의DT점	구의동 67-36	1.2197157650139587	서울특별시 광진구 구의강변로 45	32731	강변스파랜드
스타벅스 국립대구박물관DT점	황금동 69-3 64-5	0.7101068322251229	대구광역시 수성구 청호로 250-11	2879	청호서원
스타벅스 국립대구박물관DT점	황금동 69-3 64-5	0.7436073231778445	대구광역시 수성구 청호로46길 5-3	2315	덕산서원(대구)
스타벅스 국립대구박물관DT점	황금동 69-3 64-5	1.454515515800482	대구광역시 수성구 달구벌대로492길 15	0	물레책방
스타벅스 군산나운DT점	나운동 843-6	1.6347633030615496	전라북도 군산시 설림3길 49	22784	은적사(군산)
스타벅스 군산나운DT점	나운동 843-6	1.802078731551848	전라북도 군산시 미룡동	29374	은파 물빛다리
스타벅스 군산나운DT점	나운동 843-6	1.9540011986703123	전북 군산시 소룡동 1071-3	33607	월명호수
스타벅스 금정구청DT점	부곡동 217-2	0.8049516275629209	부산광역시 금정구 오륜대로 57	2864	부산 가톨릭 특성화 거리
스타벅스 금정구청DT점	부곡동 217-2	1.986382419106816	부산광역시 금정구 장전동 산 43-1	49178	금강식물원
스타벅스 금정구청DT점	부곡동 217-2	2.0796479050032275	부산광역시 동래구 우장춘로 211	19911	금강사(부산)
스타벅스 금정남산동DT점	남산동 68-1 남산프라자	2.2246556012419663	부산광역시 금정구 오륜대로 57	2864	부산 가톨릭 특성화 거리
스타벅스 금정남산동DT점	남산동 68-1 남산프라자	3.079836175316517	부산광역시 금정구 범어사로 250	63349	범어사(부산)
스타벅스 금정남산동DT점	남산동 68-1 남산프라자	3.084505903308784	부산광역시 기장군 철마면 철마천로 101	0	부산 치유의 숲
스타벅스 기장역DT점	청강리 31-1	1.5360451578585872	부산광역시 기장군 기장읍 대변로 107-27	37540	토암도자기공원
스타벅스 기장역DT점	청강리 31-1	1.7495544456907848	부산광역시 기장군 기장읍 차성로417번길 35	5361	기장향교
스타벅스 기장역DT점	청강리 31-1	1.9632948762856897	부산광역시 기장군 기장읍 기장해안로 1014	38654	소름요
스타벅스 김천시청DT점	신음동 1000-3	2.0084451102411083	경상북도 김천시 김산향교1길 2-19	2261	김산향교
스타벅스 김천시청DT점	신음동 1000-3	2.241575315647728	경상북도 김천시 음지마길 40-5	1905	원계서원
스타벅스 김천시청DT점	신음동 1000-3	4.220078103096464	경상북도 김천시 하리안길 19-6	2326	하로서원
스타벅스 김포감정DT점	감정동 502-20	0.07022531880043757	경기도 김포시 중봉로 33	29922	피싱파크 진산각
스타벅스 김포감정DT점	감정동 502-20	0.3575108065946571	경기도 김포시 중봉로25번길 87	21216	우저서원
스타벅스 김포감정DT점	감정동 502-20	1.1875983415778941	경기도 김포시 북변중로25번길 38	18720	김포향교
스타벅스 김포풍무DT점	풍무동 620-11	1.3317173307636083	경기도 김포시 승가로 125	22541	금정사(김포)
스타벅스 김포풍무DT점	풍무동 620-11	1.3839399831515151	경기도 김포시 장릉로 79	37835	김포 장릉(인헌왕후) [유네스코 세계문화유산]
스타벅스 김포풍무DT점	풍무동 620-11	2.905352616412465	경기도 김포시 북변중로25번길 38	18720	김포향교
스타벅스 김해구산DT점	구산동 836-1	0.4685131260452934	경상남도 김해시 구산동	29730	김해 구지봉
스타벅스 김해구산DT점	구산동 836-1	1.7089173541447138	경상남도 김해시 가락로190번길 1	27067	김해 수로왕비릉
스타벅스 김해구산DT점	구산동 836-1	1.7207137831595465	경상남도 김해시 가락로190번길 19-7	21490	파사석탑
스타벅스 김해대로DT점	삼정동 616-5	1.1788737045989566	경상남도 김해시 활천로 121-57	18694	성조암(김해)
스타벅스 김해대로DT점	삼정동 616-5	1.1800865968684155	경상남도 김해시 김해대로2580번길 21	3420	초선대마애석불
스타벅스 김해대로DT점	삼정동 616-5	1.6750561462900688	경상남도 김해시 어방동	25718	김해 분산성
