지점명	mac_name	distance
스타벅스 대전도안DT점	맥도날드 대전유성DT점	0.5148141568259148
스타벅스 대전수침교DT점	맥도날드 대전가장DT점	0.7176340436027955
스타벅스 대전신탄진DT점	맥도날드 대전신탄진DT점	1.7894845565513997
스타벅스 대전유천DT점	맥도날드 대전유천DT점	0.5391743252771869
스타벅스 대전터미널DT점	맥도날드 대전한남대DT점	1.6736619224643527
스타벅스 대전판암DT점	맥도날드 대전부사DT점	1.985994199407095
스타벅스 대전한남대DT점	맥도날드 대전한남대DT점	0.18023145337159227
스타벅스 동대구로DT점	맥도날드 대구수성DT점	1.1541202801422714
스타벅스 동두천DT점	맥도날드 동두천지행DT점	0.3536332187893805
스타벅스 동래미남DT점	맥도날드 부산사직DT	0.8311258164337778
스타벅스 동명대DT점	맥도날드 부산동명대DT점	1.0880332902158634
스타벅스 동부산DT점	맥도날드 부산송정DT점	0.8536241219195038
스타벅스 동서대DT점	맥도날드 부산엄궁DT점	4.479216398806794
스타벅스 동수원DT점	맥도날드 수원인계DT점	0.8214995285938298
스타벅스 동탄능동DT점	맥도날드 병점DT점	2.5196125608748816
스타벅스 동해DT점	맥도날드 동해DT점	0.0921282919166463
스타벅스 리버사이드팔당DTR점	맥도날드 하남시청DT점	3.134449526322088
스타벅스 마산역DT점	맥도날드 창원역DT점	3.2276424464258127
스타벅스 마산해안대로DT점	맥도날드 마산신포DT점	1.1311954497213073
스타벅스 마산회원DT점	맥도날드 마산신포DT점	2.5245499973625742
스타벅스 명지강변DT점	맥도날드 부산명지DT점	0.8603379040600236
스타벅스 목포북항DT점	맥도날드 목포하당DT점	5.610795740620644
스타벅스 목포터미널DT점	맥도날드 목포하당DT점	1.8713585312286531
스타벅스 밀양DT점	맥도날드 밀양DT점	0.7792256329206773
스타벅스 방화DT점	맥도날드 우장산DT점	3.738340885198216
스타벅스 백석역DT점	맥도날드 고양풍동DT점	1.1011022599090283
스타벅스 부산교대역DT점	맥도날드 부산교대DT점	0.7128972020313903
스타벅스 부산안락DT점	맥도날드 부산온천SK DT점	0.9990210337218224
스타벅스 부산재송DT점	맥도날드 부산온천SK DT점	3.18008801220494
스타벅스 부천심곡DT점	맥도날드 부천역곡역DT점	1.0641396700107115
스타벅스 부천중동DT점	맥도날드 중동DT점	1.0912921172571162
스타벅스 부평삼거리역DT점	맥도날드 만수DT점	1.8746681092629356
스타벅스 북수원IC DT점	맥도날드 북수원DT점	0.4995545835853548
스타벅스 북오산IC DT점	맥도날드 병점DT점	2.6319679453563203
스타벅스 사상주례DT점	맥도날드 부산엄궁DT점	3.8743977030571903
스타벅스 서귀포DT점	맥도날드 제주월드컵스타디움DT점	19.110768544544392
스타벅스 서산예천DT점	맥도날드 서산DT점	0.14727522703941578
